,umap_n_neighbors,umap_min_dist,umap_n_components,hdbscan_min_cluster_size,hdbscan_min_samples,cluster_selection_epsilon,silhouette_score
0,49,0.43,11,13,5,0.25710136994293176,0.537250816822052
1,78,0.5,67,57,16,0.3063822389579076,0.29418182373046875
2,57,0.42,21,13,4,0.4284627333035391,-0.0351896733045578
3,82,0.28,58,62,15,0.043799569417319884,0.47040656208992004
4,80,0.3,43,32,5,0.5183984546386188,0.21909387409687042
5,7,0.49,31,50,49,0.2919389456306055,0.5200323462486267
6,41,0.34,17,43,9,0.1287195949870764,0.5900018811225891
7,45,0.3,24,8,3,0.7691499125036108,-0.04343193769454956
8,57,0.02,39,40,16,0.6358895453943181,0.3073352873325348
9,31,0.19,66,59,15,0.4443529350548049,0.2490384876728058
10,19,0.16,10,90,81,0.022862644777458946,0.3726978600025177
11,42,0.36,10,26,9,0.21266281249392385,0.5940117239952087
12,33,0.37,21,27,9,0.9852466332050477,0.45444387197494507
13,37,0.36,10,74,33,0.12416052795740667,0.4509740173816681
14,97,0.23,52,28,10,0.1706065299661942,0.5857919454574585
15,64,0.09,31,43,27,0.16417890309884361,0.4179163873195648
16,22,0.35000000000000003,18,74,46,0.3539566482507437,0.3293810784816742
17,67,0.43,32,20,7,0.001378051791858903,0.5850582718849182
18,46,0.22,74,38,22,0.5759350730769273,0.2051679641008377
19,19,0.12,17,48,23,0.17032866357587656,0.5005736947059631
20,5,0.34,37,97,41,0.2444427526196793,0.40997955203056335
21,88,0.25,51,26,11,0.11192742538798925,0.44572582840919495
22,40,0.25,55,33,11,0.2033295807297469,0.6168805360794067
23,38,0.3,51,36,11,0.37422582603699805,0.450626403093338
24,25,0.42,57,21,8,0.2296380343476488,0.5814114809036255
25,41,0.38,26,70,62,0.10092275532389794,0.41517287492752075
26,51,0.32,15,45,1,0.3529382027467578,0.3281516134738922
27,29,0.26,46,5,1,0.21620017944511463,0.3173336386680603
28,64,0.2,77,34,13,0.7050489314759208,0.2408679872751236
29,54,0.46,64,18,7,0.07533561914381653,0.6009308695793152
30,55,0.45,66,19,7,0.07593566907634541,0.5826705098152161
31,48,0.39,61,16,7,0.2084272562754812,0.5799254775047302
32,41,0.48,73,12,8,0.28154814986856475,0.5900072455406189
33,70,0.47000000000000003,71,13,8,0.2997722504813032,0.5851681232452393
34,52,0.5,62,10,6,0.4315615072429416,0.29124656319618225
35,59,0.46,80,24,13,0.29126508042517707,0.6027123928070068
36,59,0.41000000000000003,80,31,18,0.0792704215669624,0.21190452575683594
